Empregados - demissões - Novo Caged sem ajuste
Sigla;Código;Estado;2020.01;2020.02;2020.03;2020.04;2020.05;2020.06;2020.07;2020.08;2020.09;2020.10;2020.11;2020.12;2021.01;2021.02;2021.03;2021.04;2021.05;2021.06;2021.07;2021.08;2021.09;2021.10;2021.11;2021.12;2022.01;2022.02;2022.03;2022.04;2022.05;2022.06;2022.07;2022.08;2022.09;2022.10;2022.11;2022.12;2023.01;2023.02;2023.03;2023.04;2023.05;2023.06;2023.07;2023.08;2023.09;2023.10;2023.11;2023.12;2024.01;2024.02;2024.03;2024.04;2024.05;2024.06;2024.07;2024.08;2024.09;2024.10;2024.11;2024.12;2025.01;2025.02;
MT;51;Mato Grosso;27228;27606;29858;25827;22123;20685;22521;24762;26316;26794;26756;28697;26632;28160;32036;29362;29354;30332;31788;35127;36188;36410;34721;38525;38440;40789;47588;42520;42686;40565;43598;47592;43518;44406;44306;43788;43483;45160;52802;44353;49220;44661;46655;50237;47245;48310;48913;50577;48553;52109;54152;53678;51676;48029;52270;51046;50030;52645;51677;54967;51093;52931;
PA;15;Pará;21396;19548;22650;20293;16093;15252;16414;17365;18801;19962;20638;25382;23069;21730;24552;20953;23120;24174;24227;27335;25832;32117;25550;31940;32571;28884;31001;28429;29358;28213;29759;32441;31334;33220;32919;40179;35147;29364;33740;29269;31720;32905;31300;35650;31484;32338;34179;37230;35353;34228;37775;36417;37824;34374;37312;38085;33939;37789;35029;40032;40456;37715;
PB;25;Paraíba;11320;13353;10982;11593;7902;5584;6739;6583;11145;11563;7491;9124;12031;13366;10873;9993;9199;8691;10609;10649;10439;10532;9979;12644;15207;16506;14020;13215;12592;12156;13139;14145;12929;13002;12177;14390;16237;14473;18041;17141;14367;14831;13970;14502;13573;13028;12820;13458;16907;17876;18623;18191;15772;14609;17248;16198;15771;17404;15801;15203;21821;21603;
PE;26;Pernambuco;32885;32137;46908;38212;23839;20651;21829;24464;23680;26638;24888;33733;33691;37044;38154;27599;27778;28266;28356;30422;32976;33236;33475;40741;41047;42596;48856;40952;37948;36064;40005;42143;37968;38193;37533;43976;45233;40596;51692;44862;46775;40742;41825;43949;39006;41280;42864;47942;47147;47815;50622;53636;47538;42385;46281;46667;43436;49374;44881;50643;60082;52230;
PI;22;Piauí;7420;6148;7182;7659;6260;4755;4169;4635;5196;5362;5988;6384;7154;7341;6955;6277;5944;6605;6770;7454;7271;8315;7522;9117;9879;8911;9474;9511;9111;8606;9065;11069;9189;9151;9990;11702;9772;9333;10181;9880;10039;9922;9957;10792;10133;10213;11725;11566;11077;11544;11036;11345;10588;10337;11285;11303;10859;11038;12242;10522;12796;11936;
PR;41;Paraná;93122;99141;116899;102089;79679;69942;70723;79611;86650;91969;89388;98863;96080;104398;115010;99583;102267;101437;109399;116807;116549;114900;113590;128966;122594;141364;147756;129129;133189;130051;132159;140821;127619;125034;122562;137045;138970;138058;157140;133087;144480;137578;136209;146662;133423;134599;133518;144526;146549;157952;160618;158810;155391;147733;159146;158207;150472;163489;142597;149420;163611;172498;
RJ;33;Rio de Janeiro;102776;90120;109749;115218;75491;65172;65687;67934;70569;77057;68197;84932;89286;80131;89833;76451;79196;80795;85478;91177;89454;91945;87363;112110;107012;106708;112569;108196;108805;103031;107585;111911;114993;105077;100073;115458;117445;111361;124527;103996;114608;110149;109760;117593;108870;108234;106856;121649;127076;126354;126331;124262;125377;117649;130227;128551;125008;132096;120993;131788;140990;140354;
RN;24;Rio Grande do Norte;12150;13336;12359;12692;9159;7723;8540;8513;9344;9077;9147;11797;12014;12596;13246;12441;10757;10222;11324;11654;11185;12074;11837;13661;16584;13746;15570;14144;13753;13135;14520;15077;14053;13127;13548;15846;15570;14757;18113;14299;15404;15986;15419;16061;15094;14551;15028;16016;16379;17244;19427;17542;16888;15627;17317;17025;16403;18483;16252;17161;20322;20007;
RO;11;Rondônia;8391;8181;8422;7876;6086;5555;6410;6531;7053;7111;7381;6821;7682;7619;8040;7479;8584;8730;9422;9983;10845;10465;9920;10586;11230;11295;12081;11042;11237;11025;11844;12310;11357;11407;10435;10359;12599;11739;13038;11391;12399;11896;12667;12600;11826;12132;11645;11457;13205;13320;13034;13577;12914;12600;13604;13450;12548;13372;12267;11965;13929;13650;
RR;14;Roraima;1539;1461;1583;1950;1437;1596;1421;1393;1427;1945;1717;1934;2016;1951;2150;2006;2181;2048;2332;2574;2449;2675;3018;2901;3127;2813;3172;3607;3118;3087;3155;3118;2823;3317;3117;3759;3665;3692;3708;3378;3656;3421;3362;3410;3218;3447;3405;3465;3273;3522;3562;3590;3573;3159;3748;3605;3327;3858;3584;3678;3646;3664;
RS;43;Rio Grande do Sul;84857;85434;106197;109966;75246;58191;57854;65016;69412;75104;73931;83409;82895;88407;95818;88937;89061;87376;91751;97601;92979;94437;93656;107336;101556;111059;123465;107430;111762;104488;107007;113991;102802;99741;99281;114141;111200;112423;137127;109396;121670;112451;111346;120545;103153;105116;102841;115879;113743;129854;136148;127906;116309;116868;122702;121368;113845;127601;115255;123540;130340;143992;
SC;42;Santa Catarina;81423;87882;90638;106278;68928;56259;60344;68282;74361;83895;78202;96371;92312;98837;104696;91945;94904;95272;100544;105468;106276;103000;98115;124470;113949;120571;127405;111162;118133;109697;111902;118694;108498;110929;104343;122328;118176;120740;135511;111997;124657;116528;114419;125122;110863;113302;110484;129285;126702;137614;135405;135804;130245;121150;130102;132274;126660;138691;119678;135141;143475;149970;
SE;28;Sergipe;6984;8679;8054;6959;5974;4594;5019;4691;5148;5032;4436;5574;6677;7022;8881;6202;5955;5863;5560;6647;7398;6739;6526;8112;9551;8065;11531;7431;8150;7689;8549;8044;7842;7999;7258;8459;10016;7986;9371;9996;9778;8308;8829;8790;7927;8452;7746;8497;9521;9706;13239;9955;9446;8688;9474;9640;9207;10877;9587;10623;12894;13338;
SP;35;São Paulo;420081;415535;530417;488000;340108;315335;301105;332951;362195;394204;383486;457895;425349;435119;475785;428497;422214;435832;438183;481697;499447;514863;496406;589717;518539;544999;582749;542621;543373;526125;529337;563540;525811;513380;522253;596241;553269;525313;616806;527342;567136;550488;534998;577428;534899;551612;547127;645103;600943;603270;636397;647312;640959;608256;618877;632717;623815;673195;600192;672842;670619;664794;
TO;17;Tocantins;5126;4652;5038;5200;4726;3507;3737;3782;4583;4772;5004;4741;5110;4993;5417;5073;5578;5690;6060;6852;6732;6743;6975;7784;8129;7836;8465;8223;8074;8125;7865;8935;8375;8180;8331;9046;8657;8533;9726;8386;9588;9552;9212;9745;8985;9109;9080;9522;9840;10085;10394;10401;10683;10608;10978;10720;9712;10464;9761;10340;11034;10704;
