Empregados - admissões - Novo Caged sem ajuste
Sigla;Código;Estado;2020.01;2020.02;2020.03;2020.04;2020.05;2020.06;2020.07;2020.08;2020.09;2020.10;2020.11;2020.12;2021.01;2021.02;2021.03;2021.04;2021.05;2021.06;2021.07;2021.08;2021.09;2021.10;2021.11;2021.12;2022.01;2022.02;2022.03;2022.04;2022.05;2022.06;2022.07;2022.08;2022.09;2022.10;2022.11;2022.12;2023.01;2023.02;2023.03;2023.04;2023.05;2023.06;2023.07;2023.08;2023.09;2023.10;2023.11;2023.12;2024.01;2024.02;2024.03;2024.04;2024.05;2024.06;2024.07;2024.08;2024.09;2024.10;2024.11;2024.12;2025.01;2025.02;
MT;51;Mato Grosso;34745;29859;27268;14296;21231;27475;28081;28697;31572;33577;29880;25148;39289;39955;36313;31263;36562;42378;43240;41162;41343;40332;37321;30974;53187;49617;48678;46886;50966;53941;51552;51735;49798;45317;40054;35059;57198;50449;52792;48031;52570;55344;52869;54870;51655;50197;44735;38326;65806;59538;55237;56677;54776;57703;58082;54779;51753;52473;43825;35451;70600;62641;
PA;15;Pará;21454;23288;20815;10931;13536;19802;23770;26983;28383;29442;26853;19999;25208;28634;28704;25251;31805;34225;33451;36092;33544;34773;31589;24928;31775;32096;33320;32923;35740;38046;35710;39539;39199;34688;31777;24996;33294;34824;37773;35307;38990;39757;38238;42553;40525;37201;34128;26470;35464;41307;39781;43749;41209;42267;42404;42773;42508;40325;36330;28657;38253;46705;
PB;25;Paraíba;9747;10394;10184;3294;4497;5642;7950;16336;13015;13000;17669;10469;11857;13230;12955;10683;12107;11956;13738;20134;15249;14815;14347;12705;14223;15055;15081;15633;15720;15758;17269;20058;16656;14232;14721;12046;14520;14996;17226;13960;17235;14608;17447;23284;17766;16801;16477;11954;17239;17867;18886;18930;17548;18029;21637;25212;19402;19010;18521;14317;21101;22128;
PE;26;Pernambuco;29560;29660;26032;13247;16887;17387;26453;37178;45481;39654;38642;31022;35112;38866;35392;32397;35642;34792;37287;47637;58708;44388;44889;34757;41584;43405;42765;40145;44456;43230;49118;57262;58496;46306;45823;34590;45558;47336;46426;42439;47239;46069;46226;59515;57870;49552;50528;39307;49439;49960;51986;52533;51530;50407;53859;64779;61287;54384;50407;40188;54852;59818;
PI;22;Piauí;6624;6730;7112;2312;2901;5061;5242;6724;7672;8854;8094;6245;8778;10092;8191;8337;9303;11202;9393;10277;10109;9711;9306;7655;9359;10685;10319;10542;11789;12683;11059;11900;11949;10020;9932;7800;10041;10246;12111;11763;12707;14092;13686;13556;12627;12400;11601;8087;11798;12077;14051;13417;12722;13251;13000;13368;11848;12355;10864;7805;11830;14930;
PR;41;Paraná;107223;123915;104351;47081;55823;72771;79556;96672;106382;124977;119206;90786;120422;146014;126517;109602;118151;117295;123891;138780;131608;130647;131047;104620;140945;169870;156394;138054;147083;144112;148249;155939;140539;135559;127394;101144;145339;162139;170527;142516;152265;145477;143393;160230;142469;149544;141360;109632;166747;190995;178476;176842;163473;161305;173331;171010;165300;173621;146718;109635;179529;211674;
RJ;33;Rio de Janeiro;90639;98038;82908;31592;39532;48371;59029;73579;79470;93328;100870;91909;89242;95661;102930;80954;96806;96797;104251;114137;108530;111648;123017;107413;108711;127149;123954;130599;129031;125953;121019;142749;130375;113754;125296;107318;116953;126037;143954;122110;127026;123639;122470;136585;126868;127037;130370;118038;128420;144026;150797;140339;141004;134878;140825;147151;144748;142827;134803;114663;128030;172328;
RN;24;Rio Grande do Norte;10416;10697;10485;4389;6132;9469;9701;14468;13806;13840;13943;10944;14261;14495;15362;12380;12854;15004;15902;19127;17487;15967;15072;12694;14154;15390;14501;15732;17272;16741;16978;21415;18234;15136;15403;12881;15546;15190;18035;15877;17162;18460;18950;22036;19348;16808;18370;13449;17836;17527;20842;20233;19624;20160;23091;24264;21384;21330;18613;14544;19694;22502;
RO;11;Rondônia;7927;8717;7814;3359;4902;6413;7708;8128;8500;8746;8548;7029;8186;9452;8782;8274;9882;11521;11791;11985;11233;11385;11417;9561;11971;14021;13535;12357;13224;13526;13401;14193;13090;12024;10670;9010;12100;14118;14132;12199;14111;13946;13639;14539;13191;12536;12161;9251;13394;15857;14429;14301;13672;14024;15915;14658;13147;13529;11952;9665;13957;16796;
RR;14;Roraima;1783;2202;1870;906;1050;1668;1540;2093;2528;2618;2917;2310;2509;2337;2423;2289;2437;2816;2664;3166;2995;3149;3431;2823;3464;3858;3562;4012;3612;3616;3755;4199;3892;3842;3830;2825;4631;3912;4765;3982;3626;3300;3590;4099;3981;3332;3822;2613;3596;4307;4194;4070;4108;3474;3885;4400;4056;4054;4432;3112;3868;4618;
RS;43;Rio Grande do Sul;94719;104345;93647;35280;43140;53340;59105;72244;85172;102117;103719;83278;110063;117994;113580;89512;96519;98822;106501;109402;106815;113915;112378;89444;118620;136967;137209;116369;116037;112525;114518;123682;113056;113594;110960;86317;121273;131968;149296;120882;119159;112240;109217;123106;104420;115882;114640;87047;134553;155306;146638;141418;94129;108299;129392;131781;124083;141716;127120;95156;157072;174685;
SC;42;Santa Catarina;105902;105277;83599;33167;46223;59980;70388;86657;99188;116806;111206;84694;124389;132831;125425;103072;108491;110238;113941;125773;124105;120713;115984;87826;137307;149055;138624;118400;125549;119373;116453;128917;123503;117795;108582;83060;133903;140423;147396;119009;128253;118427;116639;131824;122880;125333;117156;90807;152912;163981;149297;149261;134519;131434;142252;139915;139734;148816;128644;92124;166537;180067;
SE;28;Sergipe;7016;6457;5292;2126;2564;3910;4215;5059;8659;8555;7268;6281;7191;7374;7424;6110;6387;6970;7056;8341;13495;9009;8406;7546;8298;9884;9029;9080;9005;8537;9379;9916;12973;8994;8524;7176;9589;9286;10760;9427;9606;8940;9321;11235;13883;10055;9485;7753;10298;11285;11364;11525;10169;10509;10738;12452;14865;11966;11089;8826;11981;14207;
SP;35;São Paulo;443727;478267;454564;227098;236123;302036;324072;397503;437901;513465;521897;418925;500552;563624;526725;458671;526921;541379;543082;595533;584334;591815;606604;485763;566894;643261;616759;596439;629032;606392;596346;638513;586978;573784;573161;444767;571932;590669;667574;582252;617248;586906;578329;642890;582205;621054;594400;481166;639442;704433;713338;723611;683314;656213;680724;693487;680882;720450;638754;482273;706744;802375;
TO;17;Tocantins;5094;5783;5048;2645;3617;4709;5146;5822;6373;6276;6114;4961;6501;7595;6825;6409;7231;7377;7666;8204;8523;8396;8212;6236;8946;9494;10020;8767;9920;9746;10392;11082;10403;9193;9135;6554;9710;10418;11547;9262;10753;11176;10375;12076;10306;10867;9562;7523;11287;12358;11371;11865;11210;11313;11183;11859;10850;11780;9916;7410;12598;13961;
